"hip","proper","ra","dec","mag","absmag","t_eff","con","constellations","const_name"
93163,,18.976812,-60.20055,5.14,-1.047,4233,"Pav",0,
93174,,18.978721,-37.107357,4.83,2.431,6747,"CrA",7,"Corona Australis"
93177,,18.979608,40.679194,6.2,-1.188,13478,"Lyr",0,
93179,,18.979701,13.906648,5.91,1.439,7478,"Aql",0,
93194,"Sulafat",18.982395,32.689557,3.25,-3.145,10375,"Lyr",8,"Lyra"
93197,,18.983166,50.809143,6.32,0.721,4890,"Dra",0,
93203,,18.984928,13.622245,5.27,1.845,5995,"Aql",0,
93209,,18.986379,-39.534712,6.49,0.568,10196,"CrA",0,
93210,,18.986748,39.217321,6.43,-0.9,14665,"Lyr",0,
93225,,18.989945,-12.840517,5.51,-0.315,10158,"Sgr",0,
93234,,18.990772,-18.566433,6.37,-1.252,4924,"Sgr",0,
93238,,18.991465,-70.468653,6.49,1.413,7193,"Pav",0,
93244,,18.993711,15.068298,4.02,0.636,4697,"Aql",3,"Aquila"
93256,,18.995966,26.230404,5.26,0.277,4442,"Lyr",0,
93270,,18.999475,22.814515,6.28,-0.392,3568,"Vul",0,
93279,,19.000229,32.145514,4.94,-2.711,4051,"Lyr",1,"Lyra"
93287,,19.000987,-66.653618,5.98,0.311,4894,"Pav",0,
93299,,19.003799,50.533466,5.39,-1.177,15571,"Dra",0,
93315,,19.006892,-24.942171,6.35,0.052,4401,"Sgr",0,
93340,,19.012072,55.658301,5.51,-0.382,5137,"Dra",1,"Draco"
93354,,19.015334,33.802158,6.04,0.677,4882,"Lyr",0,
93371,,19.017861,-37.061555,6.44,-0.413,9262,"CrA",0,
93374,,19.018176,19.309605,6.47,0.902,4639,"Sge",0,
93393,,19.021488,26.291411,5.69,-0.806,11263,"Lyr",0,
93408,,19.023991,46.934812,5,2.133,7852,"Lyr",0,
93418,,19.025977,-15.282617,6.31,0.226,4922,"Sgr",0,
93423,,19.02715,-22.695364,6.25,-2.716,3650,"Sgr",0,
93429,,19.028008,-5.739115,4.02,0.796,4702,"Aql",2,"Aquila"
93437,,19.030103,33.621257,6.39,-0.688,12255,"Lyr",0,
93443,,19.030397,22.264412,6.44,0.977,8224,"Vul",0,
93466,,19.035288,52.261058,6.35,-0.303,4882,"Dra",0,
93470,,19.035698,-41.910505,6.21,0.744,9517,"CrA",0,
93488,,19.039324,8.373539,6.25,-1.609,3647,"Aql",0,
93498,,19.041022,-24.846826,5.63,1.142,4436,"Sgr",0,
93506,"Ascella",19.043532,-29.880105,2.6,0.44,8795,"Sgr",8,"Sagittarius"
93523,,19.04795,19.661011,6.11,-0.853,4295,"Sge",0,
93526,,19.048472,-3.698987,5.4,-0.525,9604,"Aql",2,"Aquila"
93537,,19.051057,-19.245686,5.96,-2.953,4562,"Sgr",0,
93542,,19.051907,-42.095105,4.74,0.878,9958,"CrA",7,"Corona Australis"
93543,,19.051944,-19.103024,6.37,1.848,6370,"Sgr",0,
93552,,19.054915,-38.253147,5.73,1.552,7077,"CrA",0,
93574,,19.058242,-68.755544,5.89,2.137,6071,"Pav",0,
93580,,19.058959,1.818768,5.82,2.123,7877,"Aql",0,
93624,,19.065985,-51.018604,5.93,0.934,4429,"Tel",0,
93629,,19.066947,-57.959962,6.3,-0.33,5149,"Pav",0,
93666,,19.073376,-5.684843,6.48,-1.315,,"Aql",0,
93667,,19.073627,-31.047079,5.49,-0.347,9188,"Sgr",2,"Sagittarius"
93683,,19.07805,-21.741496,3.76,0.565,4826,"Sgr",5,"Sagittarius"
93713,,19.081991,53.396654,5.4,0.171,9742,"Dra",1,"Draco"
93717,,19.082687,-4.03142,5.4,0.66,4629,"Aql",1,"Aquila"
93718,,19.082741,31.744072,5.63,-0.761,3897,"Lyr",0,
93720,,19.082857,30.733396,6.07,-0.414,3839,"Lyr",0,
93733,,19.086067,49.923166,6.45,0.112,4244,"Dra",0,
93747,,19.090169,13.863478,2.99,0.961,9339,"Aql",4,"Aquila"
93763,,19.094772,-15.660419,5.93,-0.775,9758,"Sgr",0,
93770,,19.096425,29.921674,6.32,-1.929,3582,"Lyr",0,
93805,,19.10415,-4.882554,3.43,0.536,11554,"Aql",4,"Aquila"
93815,,19.10554,-52.34091,5.17,1.401,6154,"Tel",0,
93825,,19.106971,-37.063437,4.23,3.039,6190,"CrA",7,"Corona Australis"
93843,,19.11048,28.628595,5.53,2.521,7239,"Lyr",0,
93845,,19.110665,24.250793,5.78,0.629,8423,"Vul",0,
93855,,19.114477,-16.229276,6,-1.067,9924,"Sgr",0,
93858,,19.114582,-37.810658,6.15,5.004,5548,"CrA",0,
93860,,19.115226,-50.323144,6.29,0.096,10545,"Tel",0,
93862,,19.115445,-48.299144,5.95,0.592,9790,"Tel",0,
93864,,19.11567,-27.670423,3.32,0.462,4543,"Sgr",7,"Sagittarius"
93867,,19.116279,11.071228,5.07,-1.583,10501,"Aql",0,
93887,,19.118979,-18.738171,6.28,-0.066,10274,"Sgr",0,
93903,,19.121703,36.100157,5.25,-1.944,11972,"Lyr",1,"Lyra"
93917,,19.123769,32.501738,5.2,2.106,6885,"Lyr",0,
93925,,19.125234,-28.6368,6.05,-1.9,3830,"Sgr",0,
93966,,19.132589,16.853385,6.08,4.425,5548,"Sge",0,
93975,,19.134311,21.698927,6.22,3.047,6572,"Vul",0,
93993,,19.137378,-24.657369,6.3,-0.415,9379,"Sgr",0,
93996,,19.137973,-19.290289,5.56,-2.433,11291,"Sgr",0,
94005,,19.139156,-40.496703,4.57,0.879,4718,"CrA",6,"Corona Australis"
94013,,19.140507,52.425731,5.88,1.623,4689,"Cyg",0,
94054,,19.147861,-55.720425,6.44,1.017,4663,"Tel",0,
94068,,19.149976,6.073207,5.23,1.926,6987,"Aql",0,
94083,,19.152716,76.560502,5.11,2.929,7178,"Dra",1,"Draco"
94114,"Meridiana",19.157869,-37.904474,4.11,1.187,9003,"CrA",7,"Corona Australis"
94130,,19.161043,-39.827238,6.44,1.014,4729,"CrA",0,
94140,,19.162723,65.978513,6.26,1.407,9419,"Dra",0,
94141,"Albaldah",19.162731,-21.023615,2.88,-3.089,6837,"Sgr",3,"Sagittarius"
94144,,19.163374,-19.803657,6.11,0.742,4566,"Sgr",0,
94149,,19.164332,-0.428114,6.34,-0.952,10235,"Aql",0,
94150,,19.164642,-68.424448,5.31,2.447,5051,"Pav",0,
94157,,19.166015,-41.892256,5.86,-2.379,11099,"CrA",0,
94160,,19.167154,-39.340796,4.1,-1.712,4554,"CrA",7,"Corona Australis"
94243,,19.183863,-39.004705,6.34,-0.921,9447,"CrA",0,
94272,,19.188559,-29.502293,6.28,0.449,10029,"Sgr",0,
94280,,19.189767,40.429095,6.2,0.311,8513,"Lyr",0,
94290,,19.191939,26.735871,6.35,3.158,6527,"Lyr",0,
94302,,19.194597,56.859213,5.13,0.014,4834,"Dra",0,
94311,,19.196114,31.283456,5.93,-1.253,10657,"Lyr",0,
94336,,19.201416,49.855755,5.85,3.909,5670,"Cyg",0,
94372,,19.207788,-21.658382,6.39,0.686,4613,"Sgr",0,
94376,"Altais",19.209225,67.661541,3.07,0.694,4869,"Dra",8,"Draco"
94382,,19.210204,21.554572,6.02,-0.843,8728,"Vul",0,
94385,,19.211309,-7.939518,5.35,-2.038,8505,"Aql",0,
94398,,19.212812,-50.48642,6.12,0.668,4940,"Tel",0,
94434,,19.220463,-25.906786,5.79,-2.793,4181,"Sgr",0,
94437,,19.220979,-12.282584,5.51,-0.592,4090,"Sgr",0,
94477,,19.228529,2.293707,5.14,-1.551,10870,"Aql",0,
94478,,19.228896,5.515605,6.47,0.62,8455,"Aql",0,
94481,"Aladfar",19.229302,39.145968,4.43,-3.715,13675,"Lyr",3,"Lyra"
94490,,19.231987,57.705102,5,1.477,4566,"Dra",0,
94556,,19.244319,-45.193527,5.91,1.107,5048,"CrA",0,
94598,,19.250747,20.203123,6.03,-0.568,5064,"Sge",0,
94604,,19.252199,83.462746,6.5,0.391,8391,"Dra",0,
94620,,19.254822,21.232118,5.65,0.835,8291,"Sge",0,
94623,,19.255327,50.071127,6.27,0.625,4989,"Cyg",0,
94624,,19.255581,15.083651,5.58,-1.055,4724,"Aql",0,
94630,,19.256905,30.526381,5.88,-2.07,3592,"Lyr",0,
94643,,19.259007,-25.256682,4.86,0.053,6010,"Sgr",0,
94645,,19.259228,-24.179352,6.25,4.05,6091,"Sgr",0,
94648,,19.259229,73.355468,4.45,1.19,4394,"Dra",6,"Draco"
94646,,19.259268,18.516353,6.46,-0.596,3271,"Sge",0,
94685,,19.266525,27.926302,6.18,-1.983,5776,"Lyr",1,"Lyra"
94703,,19.270289,21.390428,4.76,-2.219,10567,"Vul",0,
94712,,19.272706,-45.466033,5.38,-0.736,4243,"Tel",0,
94713,,19.272804,38.133731,4.35,-2.684,4392,"Lyr",2,"Lyra"
